sentiment,title,body
positive,Frank Sinatra is awesome,"I used to be into rap & heavy metal, but after listening to Sinatra, it seems to me that he is the very essence of pure, beautiful music. This album was my first, and it's great to start out listening to Sinatra with. But I plan to purchase all of his albums sooner or later; this is one artist that will be here forever. I STRONGLY suggest that you purchase this album; I promise you will enjoy it."
positive,FINE GUIDE TO WRITING,"This is ""A Guide to Writing with Readings,"" and does a good job in preparing a student for college writing (EN 101). It is written in a easy method of understanding, and moves the student right along at a reasonable pace.The text gives a step-by-step of writing a sentence, a paragraph and finally an essay. The lessons are interesting and the readings right on target. The index and table of contents are excellent and makes it easy for the student to find what he/she needs. I teach English at our lcoal community college and have found the text effective - the students seem to appreciate the flow of lessons. Good job!"
positive,GPS steady,Finally a product that will keep my GPS on the dash. Great idea - great product - works exactly like I wanted.
positive,Fun but noisy,"I bought this mower for my grandson who is 2. He played with it right away, running through the house ""mowing"". It is pretty noisy with the popping action which can get annoying for adults but kids love it. My 3 yr. old grandaughter tried to take the mower away from my grandson as he played. Seems to be really durable."
negative,My Review,"I enjoyed reading this book because, Sam, the main character, likes to try new, non-city related, foods, homes, and clothing. Every detail in the story is fully described. When you read the book, you can clearly picture each setting, and you feel like you are there. I would definately recommend this book to a friend! I'm sorry if you don't like my score.~Tiger D. - age 10"
positive,This book is awesome!,"I read this book and this is definitely my favorite of all the books I have read. This book is very, very, suspenseful and a little spooky. This was the first Sherlock Holmes book I have read and it got me hooked on Sherlock Holmes. I couldn't put this book down because it was so suspenseful and it was very entertaining. I would recommend this book to anyone."
negative,Left Wing Propoganda,This book isn't so much history with a political bias as it is political propoganda with a loose basis in history.
negative,Disgusting,"this product tasted very bad in my opinion. it didn't matter what you mixed it with or how you mixed it, it still tasted bad. Egg whites as you know foam up a lot when shaken or stired, so it was really hard to try to use this as a protein shake. The reconstitued egg whites from the powder tasted like leather or rubber."
negative,Funk Brothers CD,I was disappointed on this one. Not enough of their great hits on here. Loved the video/movie of these amazing musicians - wish the CD did them justice!
positive,Hdmi cables for a great price and got delivered really fast!!,Product came as advertised and fairly quickly. Satisfied with the purchase and would recommend seller!
